k,rebalance_time,status,eligible_symbol_count,long_symbols,short_symbols,funding_pnl_bps,price_pnl_bps,cost_bps,gross_pnl_bps,net_pnl_bps
3,1712188800000,RESOLVED,20,ADAUSDT|APTUSDT|AVAXUSDT,OPUSDT|BNBUSDT|ARBUSDT,0.5057666666666666,-40.53218094545443,6.0,-40.02641427878776,-46.02641427878776
3,1712217600000,RESOLVED,20,BNBUSDT|BTCUSDT|ETHUSDT,XRPUSDT|ARBUSDT|BCHUSDT,1.1218666666666666,115.14796824295208,6.0,116.26983490961874,110.26983490961874
3,1712246400000,RESOLVED,20,BNBUSDT|ADAUSDT|APTUSDT,XRPUSDT|ATOMUSDT|ARBUSDT,0.6631833333333332,-23.59571060397636,6.0,-22.93252727064303,-28.93252727064303
3,1712275200000,RESOLVED,20,BNBUSDT|ADAUSDT|BCHUSDT,ARBUSDT|OPUSDT|ETCUSDT,1.4405999999999997,52.831232397035635,6.0,54.27183239703563,48.27183239703563
3,1712304000000,RESOLVED,20,BNBUSDT|ADAUSDT|AVAXUSDT,DOGEUSDT|ARBUSDT|APTUSDT,0.9873999999999998,-46.04957141513988,6.0,-45.06217141513988,-51.06217141513988
3,1712332800000,RESOLVED,20,BNBUSDT|APTUSDT|AVAXUSDT,ATOMUSDT|ETCUSDT|ARBUSDT,1.20315,30.1404790947099,6.0,31.3436290947099,25.3436290947099
3,1712361600000,RESOLVED,20,BNBUSDT|APTUSDT|BTCUSDT,ETCUSDT|ATOMUSDT|ARBUSDT,2.044433333333333,-26.59423872200898,6.0,-24.549805388675647,-30.549805388675647
3,1712390400000,RESOLVED,20,BNBUSDT|ADAUSDT|APTUSDT,ATOMUSDT|ETCUSDT|ARBUSDT,1.0357166666666666,-50.06092501014997,6.0,-49.02520834348331,-55.02520834348331
3,1712419200000,RESOLVED,20,BNBUSDT|ADAUSDT|APTUSDT,DOGEUSDT|SUIUSDT|ATOMUSDT,1.0495666666666665,-48.33509383439701,6.0,-47.28552716773034,-53.28552716773034
3,1712448000000,RESOLVED,20,BNBUSDT|APTUSDT|AVAXUSDT,ARBUSDT|ETCUSDT|SUIUSDT,1.0489499999999998,18.989720958533336,6.0,20.038670958533338,14.038670958533338
3,1712476800000,RESOLVED,20,BNBUSDT|ADAUSDT|APTUSDT,LTCUSDT|ETCUSDT|SUIUSDT,1.496283333333333,17.61063672309484,6.0,19.106920056428173,13.106920056428173
3,1712505600000,RESOLVED,20,BNBUSDT|APTUSDT|AVAXUSDT,ADAUSDT|ARBUSDT|SUIUSDT,1.4184499999999998,-40.01811028256964,6.0,-38.59966028256964,-44.59966028256964
3,1712534400000,RESOLVED,20,BNBUSDT|BCHUSDT|BTCUSDT,SUIUSDT|ARBUSDT|ATOMUSDT,1.1901499999999998,-4.230291259733716,6.0,-3.0401412597337156,-9.040141259733716
3,1712563200000,RESOLVED,20,BNBUSDT|BCHUSDT|BTCUSDT,DOTUSDT|ATOMUSDT|SOLUSDT,1.3649166666666666,-58.05603341714871,6.0,-56.691116750482045,-62.691116750482045
3,1712592000000,RESOLVED,20,BNBUSDT|BCHUSDT|TRXUSDT,ADAUSDT|ETHUSDT|BTCUSDT,1.2396833333333335,-27.945929672176145,6.0,-26.706246338842814,-32.70624633884282
3,1712620800000,RESOLVED,20,BCHUSDT|TRXUSDT|OPUSDT,XRPUSDT|ETHUSDT|ATOMUSDT,0.8208166666666665,-42.29530389145345,6.0,-41.474487224786785,-47.474487224786785
3,1712649600000,RESOLVED,20,BCHUSDT|LTCUSDT|TRXUSDT,APTUSDT|OPUSDT|DOGEUSDT,0.6023166666666665,266.8947378323568,6.0,267.4970544990234,261.4970544990234
3,1712678400000,RESOLVED,20,BNBUSDT|BCHUSDT|ETCUSDT,SUIUSDT|XRPUSDT|APTUSDT,1.0322833333333332,13.132253415634732,6.0,14.164536748968066,8.164536748968066
3,1712707200000,RESOLVED,20,BCHUSDT|ETCUSDT|LTCUSDT,UNIUSDT|APTUSDT|SOLUSDT,1.009183333333333,-37.824770062540765,6.0,-36.81558672920743,-42.81558672920743
3,1712736000000,RESOLVED,20,BCHUSDT|ETCUSDT|LTCUSDT,DOTUSDT|APTUSDT|SOLUSDT,2.4698833333333328,4.6538326269840455,6.0,7.123715960317378,1.1237159603173783
3,1712764800000,RESOLVED,20,BCHUSDT|ADAUSDT|BTCUSDT,BNBUSDT|XRPUSDT|AVAXUSDT,1.8119166666666664,64.09788517074114,6.0,65.9098018374078,59.9098018374078
3,1712793600000,RESOLVED,20,BCHUSDT|ADAUSDT|APTUSDT,DOGEUSDT|SOLUSDT|BNBUSDT,2.0243999999999995,9.767670000070025,6.0,11.792070000070025,5.792070000070025
3,1712822400000,RESOLVED,20,BCHUSDT|BNBUSDT|ETCUSDT,BTCUSDT|ARBUSDT|SOLUSDT,1.0113166666666666,64.86378756547404,6.0,65.87510423214071,59.875104232140714
