venue,market_type,contract_type,symbol,quote_asset,interval,open_time,close_time,open,high,low,close,volume_base,quote_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume,source_path,source_checksum,dataset_version,base_asset,mark_open,mark_high,mark_low,mark_close,index_open,index_high,index_low,index_close,premium_open,premium_high,premium_low,premium_close,funding_time,funding_rate_asof,funding_interval_hours,price_for_research,log_price,is_complete_bar,quality_flags,return_1h,execution_cost_quality,normalized_at
BINANCE,USD_M_FUTURES,PERPETUAL,ETCUSDT,USDT,1h,1686985200000,1686988799999,15.47,15.5,15.381,15.417,194568.44,3005039.49998,9648.0,83745.66,1293747.68593,/home/arthur/Downloads/crypto-pair-trading/data/research/binance_public/data/futures/um/monthly/klines/ETCUSDT/1h/ETCUSDT-1h-2023-06.zip,12c19ae21abdc5f0e88ffa2730ce4e8ef61f28e6f85da9f2314e41e757d9b1d9,sprint7_binance_usdm_202306_202605,ETC,15.47,15.50227751,15.39503142,15.41927145,15.47161121,15.50635871,15.39761423,15.42102191,0.0,0.00038585,-0.00090731,0.00028946,1686960000000,1.404e-05,8.0,15.41927145,2.7356181199372926,True,,-0.0032845446476823,UNAVAILABLE,2026-07-01T15:52:54.759604+00:00
BINANCE,USD_M_FUTURES,PERPETUAL,ETCUSDT,USDT,1h,1686988800000,1686992399999,15.418,15.442,15.388,15.404,141082.54,2174963.69031,7651.0,73729.59,1136653.94543,/home/arthur/Downloads/crypto-pair-trading/data/research/binance_public/data/futures/um/monthly/klines/ETCUSDT/1h/ETCUSDT-1h-2023-06.zip,12c19ae21abdc5f0e88ffa2730ce4e8ef61f28e6f85da9f2314e41e757d9b1d9,sprint7_binance_usdm_202306_202605,ETC,15.41927145,15.44245287,15.388,15.40742057,15.42102191,15.44457444,15.39410432,15.40930847,-0.00012239,0.00032116,-0.00093998,-0.00024401,1686988800000,0.0001,8.0,15.40742057,2.734849248559454,True,,-0.0007688713778386,UNAVAILABLE,2026-07-01T15:52:54.759604+00:00
BINANCE,USD_M_FUTURES,PERPETUAL,ETCUSDT,USDT,1h,1686992400000,1686995999999,15.405,15.45,15.373,15.389,145795.32,2247048.19101,7130.0,70592.54,1087973.42472,/home/arthur/Downloads/crypto-pair-trading/data/research/binance_public/data/futures/um/monthly/klines/ETCUSDT/1h/ETCUSDT-1h-2023-06.zip,12c19ae21abdc5f0e88ffa2730ce4e8ef61f28e6f85da9f2314e41e757d9b1d9,sprint7_binance_usdm_202306_202605,ETC,15.40731906,15.44295874,15.37864752,15.38960915,15.40930847,15.44174774,15.38517278,15.39666431,-0.0002405,0.00041931,-0.00083839,-0.00034329,1686988800000,0.0001,8.0,15.38960915,2.7336925511670214,True,,-0.0011566973924326,UNAVAILABLE,2026-07-01T15:52:54.759604+00:00
BINANCE,USD_M_FUTURES,PERPETUAL,ETCUSDT,USDT,1h,1686996000000,1686999599999,15.39,15.4,15.353,15.368,112546.14,1730773.77479,5463.0,46227.18,710935.80898,/home/arthur/Downloads/crypto-pair-trading/data/research/binance_public/data/futures/um/monthly/klines/ETCUSDT/1h/ETCUSDT-1h-2023-06.zip,12c19ae21abdc5f0e88ffa2730ce4e8ef61f28e6f85da9f2314e41e757d9b1d9,sprint7_binance_usdm_202306_202605,ETC,15.38960915,15.4,15.355,15.366,15.3966635,15.40126205,15.36369748,15.37376909,-0.00033853,0.00011119,-0.00107211,-0.00056282,1686988800000,0.0001,8.0,15.366,2.732157276445444,True,,-0.0015352747215779,UNAVAILABLE,2026-07-01T15:52:54.759604+00:00
BINANCE,USD_M_FUTURES,PERPETUAL,ETCUSDT,USDT,1h,1686999600000,1687003199999,15.368,15.388,15.294,15.32,246014.06,3773867.14388,10019.0,117534.77,1803217.11636,/home/arthur/Downloads/crypto-pair-trading/data/research/binance_public/data/futures/um/monthly/klines/ETCUSDT/1h/ETCUSDT-1h-2023-06.zip,12c19ae21abdc5f0e88ffa2730ce4e8ef61f28e6f85da9f2314e41e757d9b1d9,sprint7_binance_usdm_202306_202605,ETC,15.368,15.38968752,15.30310693,15.322,15.3739743,15.39109681,15.31301347,15.33009588,-0.00022959,0.00181755,-0.0027367,-0.00042921,1686988800000,0.0001,8.0,15.322,2.7292897040946293,True,,-0.002867572350814,UNAVAILABLE,2026-07-01T15:52:54.759604+00:00
BINANCE,USD_M_FUTURES,PERPETUAL,ETCUSDT,USDT,1h,1687003200000,1687006799999,15.32,15.398,15.261,15.378,224478.86,3442514.40004,10211.0,123633.32,1896302.49007,/home/arthur/Downloads/crypto-pair-trading/data/research/binance_public/data/futures/um/monthly/klines/ETCUSDT/1h/ETCUSDT-1h-2023-06.zip,12c19ae21abdc5f0e88ffa2730ce4e8ef61f28e6f85da9f2314e41e757d9b1d9,sprint7_binance_usdm_202306_202605,ETC,15.32103171,15.398,15.28153195,15.38171687,15.33009588,15.40053107,15.28303161,15.38718683,-0.00052911,0.00125617,-0.00249844,-0.00052489,1686988800000,0.0001,8.0,15.38171687,2.7331795878863403,True,,0.0038898837917109,UNAVAILABLE,2026-07-01T15:52:54.759604+00:00
BINANCE,USD_M_FUTURES,PERPETUAL,ETCUSDT,USDT,1h,1687006800000,1687010399999,15.377,15.415,15.361,15.38,103684.69,1595752.79489,6306.0,51307.87,789703.59319,/home/arthur/Downloads/crypto-pair-trading/data/research/binance_public/data/futures/um/monthly/klines/ETCUSDT/1h/ETCUSDT-1h-2023-06.zip,12c19ae21abdc5f0e88ffa2730ce4e8ef61f28e6f85da9f2314e41e757d9b1d9,sprint7_binance_usdm_202306_202605,ETC,15.38171687,15.415,15.367,15.38564841,15.38718602,15.4170708,15.37504587,15.39133395,-0.00053561,0.0001231,-0.00123542,-0.00023782,1686988800000,0.0001,8.0,15.38564841,2.7334351534822647,True,,0.0002555655959244,UNAVAILABLE,2026-07-01T15:52:54.759604+00:00
BINANCE,USD_M_FUTURES,PERPETUAL,ETCUSDT,USDT,1h,1687010400000,1687013999999,15.38,15.381,15.282,15.328,141016.57,2162092.96434,7688.0,66473.84,1019310.43372,/home/arthur/Downloads/crypto-pair-trading/data/research/binance_public/data/futures/um/monthly/klines/ETCUSDT/1h/ETCUSDT-1h-2023-06.zip,12c19ae21abdc5f0e88ffa2730ce4e8ef61f28e6f85da9f2314e41e757d9b1d9,sprint7_binance_usdm_202306_202605,ETC,15.38564841,15.38564841,15.28824284,15.33169512,15.39133395,15.39133476,15.29883641,15.33699946,-0.00050653,7.468e-05,-0.00145414,-0.00037921,1686988800000,0.0001,8.0,15.33169512,2.729922262113186,True,,-0.0035128913690787,UNAVAILABLE,2026-07-01T15:52:54.759604+00:00
BINANCE,USD_M_FUTURES,PERPETUAL,ETCUSDT,USDT,1h,1687014000000,1687017599999,15.329,15.366,15.24,15.317,310495.58,4752896.8254,11267.0,142510.09,2181331.71337,/home/arthur/Downloads/crypto-pair-trading/data/research/binance_public/data/futures/um/monthly/klines/ETCUSDT/1h/ETCUSDT-1h-2023-06.zip,12c19ae21abdc5f0e88ffa2730ce4e8ef61f28e6f85da9f2314e41e757d9b1d9,sprint7_binance_usdm_202306_202605,ETC,15.33169512,15.366,15.26110858,15.32317152,15.33699946,15.37054743,15.27125514,15.33245424,-0.00045001,0.00013729,-0.00289126,-0.00094551,1686988800000,0.0001,8.0,15.32317152,2.729366161163881,True,,-0.0005561009493049,UNAVAILABLE,2026-07-01T15:52:54.759604+00:00
BINANCE,USD_M_FUTURES,PERPETUAL,ETCUSDT,USDT,1h,1687017600000,1687021199999,15.316,15.358,15.29,15.356,141425.37,2167682.95281,6553.0,77162.64,1182469.45147,/home/arthur/Downloads/crypto-pair-trading/data/research/binance_public/data/futures/um/monthly/klines/ETCUSDT/1h/ETCUSDT-1h-2023-06.zip,12c19ae21abdc5f0e88ffa2730ce4e8ef61f28e6f85da9f2314e41e757d9b1d9,sprint7_binance_usdm_202306_202605,ETC,15.32317233,15.36116492,15.29073948,15.35602221,15.33245506,15.36402829,15.2988915,15.35918447,-0.00092166,0.00027399,-0.00144497,-2.55e-05,1687017600000,0.0001,8.0,15.35602221,2.7315077234776983,True,,0.0021415623138172,UNAVAILABLE,2026-07-01T15:52:54.759604+00:00
