dimension,bucket,trade_count,gross_pnl_bps,avg_gross_pnl_bps,gross_profit_factor,net_pnl_bps,avg_net_pnl_bps,avg_cost_bps,profit_outcome_rate,stop_outcome_rate,vertical_outcome_rate,hit_rate_gross,avg_abs_entry_zscore,avg_bars_held
pair_summary,AVAXUSDT/DOTUSDT,1589,14336.214034543613,9.022161129354068,1.1598021746045348,-6518.535965456385,-4.10228820985298,13.124449339207048,0.7035871617369415,0.10258023914411579,0.19383259911894274,0.6337319068596602,2.836694221137136,4.497797356828194
pair_summary,ARBUSDT/OPUSDT,1578,13695.572370172325,8.679069943074984,1.159321074656414,-7130.1776298276745,-4.518490259713356,13.19756020278834,0.6977186311787072,0.10202788339670468,0.2002534854245881,0.6166032953105196,2.8834858614155796,4.7902408111533585
pair_summary,ADAUSDT/DOTUSDT,1569,13435.425590053885,8.563050089263152,1.1654214287004483,-7186.574409946114,-4.580353352419448,13.1434034416826,0.715742511153601,0.09369024856596558,0.1905672402804334,0.6175908221797323,2.857530247487126,4.573613766730402
pair_summary,ARBUSDT/ATOMUSDT,1570,13313.560451645459,8.47997480996526,1.131861187155258,-7286.68954835454,-4.641203533983783,13.121178343949044,0.7114649681528662,0.12165605095541401,0.16687898089171974,0.6070063694267516,2.8913769140754826,4.484713375796178
pair_summary,ARBUSDT/ETCUSDT,1536,13007.216547508557,8.468239939784217,1.1433366465066794,-6947.533452491441,-4.523133758132448,12.991373697916666,0.6985677083333334,0.10611979166666667,0.1953125,0.6204427083333334,2.9648829261591003,3.9654947916666665
pair_summary,DOGEUSDT/ETCUSDT,1568,11388.87710088121,7.263314477602812,1.1163118837332997,-8877.703524118788,-5.661800716912492,12.925115194515307,0.6964285714285714,0.10522959183673469,0.19834183673469388,0.6320153061224489,3.0722743654284326,3.8105867346938775
pair_summary,DOGEUSDT/DOTUSDT,1619,11715.98589640984,7.236557070049314,1.1088720182584149,-9443.970953590155,-5.833212448171807,13.069769518221126,0.7103150092649784,0.11982705373687462,0.169857936998147,0.6287831995058678,2.9896181583914587,4.406423718344657
pair_summary,ATOMUSDT/DOTUSDT,1629,8032.073226351665,4.93067724146818,1.1006086262152561,-13365.926773648334,-8.204988811324945,13.135666052793125,0.6942909760589319,0.1092694904849601,0.19643953345610804,0.6193984039287906,2.8341085231965897,4.542664211172498
pair_summary,ARBUSDT/DOTUSDT,1603,6968.885004276169,4.347401749392494,1.068496420573064,-14089.364995723829,-8.78937304786265,13.136774797255146,0.7105427323767936,0.11977542108546475,0.16968184653774174,0.6138490330630069,2.9289988266451275,4.547099189020586
pair_summary,DOGEUSDT/ETHUSDT,1455,5137.170551005214,3.5307014096255767,1.0658632815769336,-13053.82757399479,-8.971702799996418,12.502404209621991,0.668041237113402,0.08247422680412371,0.24948453608247423,0.6123711340206186,3.1463049144566693,2.457044673539519
pair_summary,ATOMUSDT/ETCUSDT,1588,5135.816875526072,3.2341416092733453,1.059879856463367,-15445.183124473926,-9.726185846646048,12.960327455919396,0.6857682619647355,0.12027707808564232,0.19395465994962216,0.6032745591939547,2.873864336679,3.841309823677582
pair_summary,DOTUSDT/LINKUSDT,1519,4899.003489029587,3.2251504206909725,1.0603842162049673,-14889.996510970412,-9.80249934889428,13.027649769585253,0.717577353522054,0.09809084924292298,0.18433179723502305,0.6267281105990783,2.9073748830472668,4.110599078341014
pair_summary,BTCUSDT/SOLUSDT,1619,2730.900959612688,1.6867825568948043,1.0588427322888792,-17741.69201538731,-10.958426198509766,12.645208755404571,0.692402717726992,0.08400247066090179,0.22359481161210623,0.6016059295861643,2.9423601615501447,3.3712168004941323
pair_summary,ETCUSDT/ETHUSDT,1400,1904.4886030932576,1.3603490022094697,1.0311669618578159,-15599.202196906743,-11.142287283504816,12.502636285714283,0.6628571428571428,0.07214285714285715,0.265,0.6242857142857143,3.0645077761682544,2.374285714285714
pair_summary,ARBUSDT/ETHUSDT,1387,1680.0024412925086,1.2112490564473746,1.0238144641246492,-15724.847358707495,-11.33730883828947,12.548557894736842,0.7007930785868781,0.06488824801730353,0.2343186733958183,0.608507570295602,3.061888517403435,2.591204037490988
pair_summary,ADAUSDT/ETHUSDT,1446,660.909009317058,0.4570601724184357,1.0089781059893197,-17449.612090682942,-12.067504903653488,12.524565076071921,0.6846473029045643,0.07676348547717843,0.23858921161825727,0.6078838174273858,2.9985605532349258,2.4778699861687414
pair_summary,AVAXUSDT/SOLUSDT,1442,231.03020219084146,0.16021511941112446,1.002738600166609,-18214.662547809156,-12.631527425665157,12.791742545076284,0.7122052704576977,0.09084604715672677,0.19694868238557559,0.6171983356449375,2.9537741339784698,3.391123439667129
pair_summary,BTCUSDT/ETHUSDT,1553,142.50372392828945,0.09176028585208593,1.003789466914087,-19181.10535107171,-12.351001513890347,12.442761799742435,0.6851255634256278,0.06310367031551835,0.2517707662588538,0.5911139729555699,2.9989484294273137,2.610431423052157
pair_summary,AVAXUSDT/LINKUSDT,1529,-274.1397609176329,-0.17929349961911895,0.997096411967347,-20235.13976091763,-13.234231367506625,13.054937867887508,0.7076520601700458,0.10987573577501634,0.18247220405493786,0.6010464355788097,2.8829846563220793,4.219751471550032
pair_summary,ETCUSDT/LINKUSDT,1529,-413.28937086093083,-0.27030043875796655,0.9953270205375598,-20273.78937086093,-13.259509071851491,12.989208633093526,0.6873773708306082,0.12295618051013735,0.18966644865925442,0.6206671026814912,2.984710336289435,3.9568345323741005
