k,rebalance_time,status,held_long,held_short,swap_count,funding_pnl_bps,price_pnl_bps,cost_bps,gross_pnl_bps,net_pnl_bps
3,1712793600000,RESOLVED,TRXUSDT|BNBUSDT|BCHUSDT,ARBUSDT|OPUSDT|SUIUSDT,0,0.7235499999999999,-103.0547563169082,0.0,-102.3312063169082,-102.3312063169082
3,1712822400000,RESOLVED,TRXUSDT|BNBUSDT|BCHUSDT,ARBUSDT|OPUSDT|SUIUSDT,0,0.7814500000000001,163.57003490284606,0.0,164.35148490284607,164.35148490284607
3,1712851200000,RESOLVED,TRXUSDT|BNBUSDT|BCHUSDT,ARBUSDT|OPUSDT|SUIUSDT,0,0.41869999999999996,52.69358965486341,0.0,53.11228965486341,53.11228965486341
3,1712880000000,RESOLVED,TRXUSDT|BNBUSDT|BCHUSDT,ARBUSDT|OPUSDT|SUIUSDT,0,0.19233333333333338,28.51640287076925,0.0,28.708736204102586,28.708736204102586
3,1712908800000,RESOLVED,TRXUSDT|BNBUSDT|BCHUSDT,ARBUSDT|OPUSDT|SUIUSDT,0,0.8758166666666666,59.6032657773222,0.0,60.479082443988865,60.479082443988865
3,1712937600000,RESOLVED,TRXUSDT|BNBUSDT|BCHUSDT,ARBUSDT|OPUSDT|SUIUSDT,0,1.0096833333333333,516.6251409399175,0.0,517.6348242732508,517.6348242732508
3,1712966400000,RESOLVED,TRXUSDT|BNBUSDT|BCHUSDT,ARBUSDT|OPUSDT|SUIUSDT,0,0.7523666666666666,73.71338024774205,0.0,74.46574691440871,74.46574691440871
3,1712995200000,RESOLVED,TRXUSDT|BNBUSDT|BCHUSDT,ARBUSDT|OPUSDT|SUIUSDT,0,1.6824333333333334,42.36873744258423,0.0,44.05117077591756,44.05117077591756
3,1713024000000,RESOLVED,TRXUSDT|BNBUSDT|BCHUSDT,ARBUSDT|OPUSDT|SUIUSDT,0,1.18395,194.76620800844586,0.0,195.95015800844587,195.95015800844587
3,1713052800000,RESOLVED,TRXUSDT|BNBUSDT|BCHUSDT,ARBUSDT|OPUSDT|SUIUSDT,0,3.73725,-265.5095840442755,0.0,-261.7723340442755,-261.7723340442755
3,1713081600000,RESOLVED,TRXUSDT|BNBUSDT|BCHUSDT,ARBUSDT|OPUSDT|SUIUSDT,0,0.9966333333333334,-106.33890354873165,0.0,-105.34227021539832,-105.34227021539832
3,1713110400000,RESOLVED,TRXUSDT|BNBUSDT|BCHUSDT,ARBUSDT|OPUSDT|SUIUSDT,0,1.6814333333333333,85.93095154388688,0.0,87.61238487722021,87.61238487722021
3,1713139200000,RESOLVED,TRXUSDT|BNBUSDT|BCHUSDT,ARBUSDT|OPUSDT|SUIUSDT,0,1.0697333333333332,-41.48643402119555,0.0,-40.41670068786222,-40.41670068786222
3,1713168000000,RESOLVED,TRXUSDT|BNBUSDT|BCHUSDT,ARBUSDT|OPUSDT|SUIUSDT,0,1.16835,-91.12979272795813,0.0,-89.96144272795813,-89.96144272795813
3,1713196800000,RESOLVED,TRXUSDT|BNBUSDT|BCHUSDT,ARBUSDT|OPUSDT|SUIUSDT,0,1.67985,133.82929259836035,0.0,135.50914259836034,135.50914259836034
3,1713225600000,RESOLVED,TRXUSDT|BNBUSDT|BCHUSDT,ARBUSDT|OPUSDT|SUIUSDT,0,3.1127499999999997,-123.90270812867755,0.0,-120.78995812867754,-120.78995812867754
3,1713254400000,RESOLVED,TRXUSDT|BNBUSDT|BCHUSDT,ARBUSDT|OPUSDT|SUIUSDT,0,2.2590333333333334,-53.98415636045933,0.0,-51.725123027125996,-51.725123027125996
3,1713283200000,RESOLVED,TRXUSDT|BNBUSDT|BCHUSDT,ARBUSDT|OPUSDT|SUIUSDT,0,2.4663666666666666,-51.92990981166998,0.0,-49.463543145003314,-49.463543145003314
3,1713312000000,RESOLVED,TRXUSDT|BNBUSDT|BCHUSDT,ARBUSDT|OPUSDT|SUIUSDT,0,1.11245,53.97461876717066,0.0,55.08706876717066,55.08706876717066
