variant,pair,funding_carry_bps_per_day,unresolved_no_data_count,trade_count,gross_pnl_bps,cost_bps,net_pnl_bps,hit_rate,profit_factor,sharpe,sortino,max_drawdown_bps,avg_win_bps,avg_loss_bps,avg_bars_held,turnover_notional,profit_count,stop_count,vertical_count,profit_factor_gate_pass
fast_vertical_4h,BTCUSDT/ETHUSDT,4.0707,0,1553,-18.941141709037154,19309.1920125,-19328.133154209034,0.4900193174500966,0.5845067694228828,-0.1840308747116734,-0.22059027738402434,19359.54773911302,35.729821367533006,-58.73551416022936,2.555698647778493,1553000.0,1033,97,423,False
fast_vertical_4h,BTCUSDT/SOLUSDT,4.5933,0,1619,2490.716887919283,20353.167175,-17862.45028708072,0.5083384805435454,0.6709123986814464,-0.14200539667983272,-0.16715486629794804,17918.690845504174,44.24818850198219,-68.18933344750259,2.9857936998147006,1619000.0,934,129,556,False
fast_vertical_4h,DOGEUSDT/DOTUSDT,5.8266,0,1619,4626.766764891011,20689.701675,-16062.93491010898,0.5311920938851142,0.8542476137412064,-0.05532274961808019,-0.06702837089023782,21549.81059420982,109.46985651210866,-145.20027866999,3.2100061766522545,1619000.0,719,174,726,False
fast_vertical_4h,DOGEUSDT/ETCUSDT,5.8266,0,1568,10481.572429700676,19972.822874999998,-9491.25044529933,0.5580357142857143,0.9053555771244253,-0.03406818222415023,-0.039962934500438675,11717.820593145938,103.76228671432646,-144.70887636411973,3.03890306122449,1568000.0,806,151,611,False
fast_vertical_4h,DOGEUSDT/ETHUSDT,4.9074,0,1455,4829.991371474896,18169.9372,-13339.945828525115,0.5601374570446735,0.8438571463014016,-0.05596350678542681,-0.0582962630866764,14569.782941680734,88.45925501254634,-133.49099791210998,2.386254295532646,1455000.0,937,120,398,False
fast_vertical_4h,DOTUSDT/ETCUSDT,6.0,0,1500,-655.7906081984685,19155.25,-19811.040608198466,0.53,0.7659303177225534,-0.09390480569512641,-0.10852377343133378,21145.37602740235,81.54254357730677,-120.05299681157071,3.0806666666666667,1500000.0,734,161,605,False
fast_vertical_4h,DOTUSDT/ETHUSDT,5.0808,0,1428,-4567.5527077037395,17876.5266,-22444.079307703745,0.5574229691876751,0.7144638250101608,-0.10137172803552111,-0.09426444255216562,22585.126970006935,70.55175700118657,-124.37227512760799,2.4495798319327733,1428000.0,987,99,342,False
fast_vertical_4h,DOTUSDT/LINKUSDT,6.0,0,1519,4510.54228474458,19440.25,-14929.707715255427,0.5358788676761027,0.818628128069069,-0.06796635566046075,-0.07572561478747769,16027.997346871247,82.78347029547996,-116.75950714294483,3.1922317314022384,1519000.0,739,135,645,False
fast_vertical_4h,DOTUSDT/OPUSDT,6.0,0,1542,-17905.617883219384,19790.5,-37696.117883219384,0.4792477302204929,0.6410223484297279,-0.15335088108495595,-0.17640327683287294,41271.85666937415,91.0873248270764,-130.77166990090765,3.337224383916991,1542000.0,550,172,820,False
fast_vertical_4h,ETCUSDT/ETHUSDT,5.0808,0,1400,1551.4365417873685,17493.9526,-15942.516058212632,0.5592857142857143,0.7672861820836876,-0.06895522670050117,-0.05874040093663222,15382.594082572567,67.13211145103648,-111.03234898601977,2.3414285714285716,1400000.0,912,101,387,False
fast_vertical_4h,ETCUSDT/LINKUSDT,6.0,1,1529,-4333.341364097157,19547.0,-23880.341364097163,0.5297580117724002,0.7419070685571367,-0.0944903442423149,-0.09565249850869165,25961.10286774873,84.74789312351,-128.68725284303235,3.1366906474820144,1529000.0,714,169,646,False
fast_vertical_4h,ETCUSDT/LTCUSDT,5.83245,0,1441,15313.590240528029,18309.2764875,-2995.6862469719913,0.5641915336571826,0.9577465413771535,-0.014337438437563957,-0.015346670205275501,6378.4162308334235,83.52069677069636,-112.89492471584096,2.9049271339347675,1441000.0,825,117,499,False
fast_vertical_4h,ETCUSDT/OPUSDT,6.0,0,1580,-9590.696713548503,20260.25,-29850.946713548496,0.4911392405063291,0.7042798813166669,-0.11668959959951487,-0.1298755078433724,31136.498530222558,91.61377913881438,-125.55129269311995,3.291772151898734,1580000.0,579,195,806,False
fast_vertical_4h,ETHUSDT/LINKUSDT,5.0808,0,1528,-19205.71653532544,19418.6338,-38624.350335325435,0.43913612565445026,0.49823509530315324,-0.23675225724609605,-0.27182449745697346,38939.67860119317,57.157431065567785,-89.82145458613932,3.3468586387434556,1528000.0,560,148,820,False
fast_vertical_4h,ETHUSDT/OPUSDT,5.0808,0,1607,-12666.872453319904,20458.935,-33125.80745331989,0.44430616054760425,0.6148210976371802,-0.15348195427708758,-0.22697931748485092,34545.53534736549,74.05502486323381,-96.30581769951716,3.4536403235843185,1607000.0,515,140,952,False
fast_vertical_4h,ETHUSDT/SOLUSDT,4.684200000000001,0,1537,-11116.295356869658,19370.105375,-30486.400731869653,0.4892648015614834,0.59608622657186,-0.16755849524856242,-0.18107515756832765,30974.102726343575,59.828585824061946,-96.14967805294808,3.0871828236824985,1537000.0,820,117,600,False
fast_vertical_4h,ETHUSDT/UNIUSDT,5.0808,0,1584,-6331.796759794802,20148.8513,-26480.648059794818,0.4671717171717172,0.6562580311839399,-0.14652437897603138,-0.17681910715195998,27852.715556520718,68.31860042393392,-91.27537011078901,3.4021464646464645,1584000.0,576,136,872,False
